name,source,type,category,power,accuracy,pp
Tackle,nature,normal,physical,40,100,35
Tail Whip,nature,normal,other,--,100,30
Growl,nature,normal,other,--,100,40
Helping Hand,nature,normal,other,--,101,20
Covet,nature,normal,physical,60,100,25
Sand Attack,lv. 5,ground,other,--,100,15
Quick Attack,lv. 10,normal,physical,40,100,30
Baby-Doll Eyes,lv. 15,fairy,other,--,100,30
Swift,lv. 20,normal,special,60,101,20
Bite,lv. 25,dark,physical,60,100,25
Copycat,lv. 30,normal,other,--,101,20
Baton Pass,lv. 35,normal,other,--,101,40
Take Down,lv. 40,normal,physical,90,85,20
Charm,lv. 45,fairy,other,--,100,20
Double-Edge,lv. 50,normal,physical,120,100,15
Last Resort,lv. 55,normal,physical,140,100,5
Take Down,TM001,normal,physical,90,85,20
Charm,TM002,fairy,other,--,100,20
Fake Tears,TM003,dark,other,--,100,20
Mud-Slap,TM005,ground,special,20,100,10
Protect,TM007,normal,other,--,101,10
Trailblaze,TM020,grass,physical,50,100,20
Facade,TM025,normal,physical,70,100,20
Swift,TM032,normal,special,60,101,20
Stored Power,TM041,psychic,special,20,100,10
Endure,TM047,normal,other,--,101,10
Sunny Day,TM049,fire,other,--,101,5
Rain Dance,TM050,water,other,--,101,5
Dig,TM055,ground,physical,80,100,10
Body Slam,TM066,normal,physical,85,100,15
Sleep Talk,TM070,normal,other,--,101,10
Rest,TM085,psychic,other,--,101,5
Substitute,TM103,normal,other,--,101,10
Shadow Ball,TM114,ghost,special,80,100,15
Hyper Voice,TM117,normal,special,90,100,10
Calm Mind,TM129,psychic,other,--,101,20
Helping Hand,TM130,normal,other,--,101,20
Baton Pass,TM132,normal,other,--,101,40
Tera Blast,TM171,normal,special,80,100,10
Roar,TM172,normal,other,--,101,20
Weather Ball,TM193,normal,special,50,100,10
Double-Edge,TM204,normal,physical,120,100,15
Curse,TM224,ghost,other,--,101,10
Alluring Voice,TM227,fairy,special,80,100,10
